N,block,mode,threads,elapsed_s,max_err
512,64x64x64,threadpool,-,0.08245348930358887,22.575820434129497
512,64x64x64,openmp,1,0.08266592025756836,22.807390840266095
512,64x64x64,openmp,2,0.08320951461791992,21.62558321774543
512,64x64x64,openmp,4,0.08363938331604004,22.478140215631043
512,64x64x64,openmp,8,0.08360743522644043,21.708145018539796
512,32x32x32,threadpool,-,0.07639765739440918,23.26588570821147
512,32x32x32,openmp,1,0.07538127899169922,22.356928532844194
512,32x32x32,openmp,2,0.0815117359161377,22.205003477997508
512,32x32x32,openmp,4,0.0828394889831543,23.627917348172645
512,32x32x32,openmp,8,0.08346033096313477,22.87154872044289
512,128x128x64,threadpool,-,0.09164857864379883,22.08178230237533
512,128x128x64,openmp,1,0.08648467063903809,21.160820462551868
512,128x128x64,openmp,2,0.08494877815246582,21.6351442377336
512,128x128x64,openmp,4,0.08388996124267578,21.039250971890127
512,128x128x64,openmp,8,0.08373832702636719,21.642403408534364
1024,64x64x64,threadpool,-,0.7221407890319824,22.27048088308996
1024,64x64x64,openmp,1,0.7827167510986328,22.2056347220788
1024,64x64x64,openmp,2,0.7185072898864746,22.644394950261187
1024,64x64x64,openmp,4,0.6993672847747803,22.18800232427691
1024,64x64x64,openmp,8,0.6966948509216309,21.923835421366334
1024,32x32x32,threadpool,-,0.6387031078338623,20.659242462473344
1024,32x32x32,openmp,1,0.6868338584899902,22.13758098723008
1024,32x32x32,openmp,2,0.7060580253601074,24.30351249985324
1024,32x32x32,openmp,4,0.683828592300415,22.31431173601277
1024,32x32x32,openmp,8,0.6922056674957275,22.275448795716898
1024,128x128x64,threadpool,-,0.7964847087860107,23.34950602086468
1024,128x128x64,openmp,1,0.7758402824401855,22.45117400240997
1024,128x128x64,openmp,2,0.7380561828613281,21.625309443161427
1024,128x128x64,openmp,4,0.7314667701721191,23.308612816264684
1024,128x128x64,openmp,8,0.7591900825500488,21.95194169742018
