size,digits,algo,mean_time_s,std_time_s,n_trials,baseline_time_s,speedup
4,4.0,auto,0.00022230000467967636,0.00015478925559989976,4,,
4,4.0,karatsuba,0.00028755003586405,0.00016185673989973522,2,,
4,4.0,numba,0.00011034996714440274,3.585033983390616e-05,2,,
4,4.0,schoolbook,0.00015849998453624999,1.1737979628370036e-05,2,,
4,4.0,strassen,0.00022909999825055,1.5132035704416688e-05,2,,
4,8.0,auto,0.0001682500005699364,6.576710633954743e-05,4,,
4,8.0,karatsuba,0.00015114998677745,6.1518758393895035e-06,2,,
4,8.0,numba,0.00011989998165517277,4.7234763379557655e-05,2,,
4,8.0,schoolbook,0.0001591999898664,3.167837805785443e-05,2,,
4,8.0,strassen,0.00014179997378955,4.666857973858706e-06,2,,
4,16.0,auto,0.00010120007209475,7.071121654511357e-07,2,,
4,16.0,karatsuba,,,0,,
4,16.0,numba,0.00010120007209475,7.071121654511357e-07,2,,
4,16.0,schoolbook,,,0,,
4,16.0,strassen,,,0,,
8,4.0,auto,0.000705049984389875,0.0006688189694287781,4,,
8,4.0,karatsuba,0.00045724998926734996,9.439881554259925e-05,2,,
8,4.0,numba,0.0008769999840296499,0.0010933285160888483,2,,
8,4.0,schoolbook,0.00043275003554294996,6.4347207055699494e-06,2,,
8,4.0,strassen,0.0004004999645985,2.177880774153854e-05,2,,
8,8.0,auto,0.000316150020807925,0.00019129794319144695,4,,
8,8.0,karatsuba,0.0005497499951161,0.00020385879093693868,2,,
8,8.0,numba,0.00015410000924015,6.887223100608626e-05,2,,
8,8.0,schoolbook,0.00044485001126299997,1.0606682482120436e-06,2,,
8,8.0,strassen,0.00054850004380565,0.00019671704038396555,2,,
8,16.0,auto,0.00010389997623857079,2.3758804122820405e-05,2,,
8,16.0,karatsuba,,,0,,
8,16.0,numba,0.00010389997623857079,2.3758804122820405e-05,2,,
8,16.0,schoolbook,,,0,,
8,16.0,strassen,,,0,,
16,4.0,auto,0.80664752505254,0.9331349632026203,4,,
16,4.0,karatsuba,0.00223794998601075,9.411588835830002e-05,2,,
16,4.0,numba,1.611152450030204,0.1526757385300584,2,,
16,4.0,schoolbook,0.00207084993598975,0.00021149560232374044,2,,
16,4.0,strassen,0.00219219992868595,4.695191851340957e-05,2,,
16,8.0,auto,0.7814322749909479,0.8998055060484345,4,,
16,8.0,karatsuba,0.0029448000132106,0.001278590421710695,2,,
16,8.0,numba,1.560346300015226,0.046057117376537504,2,,
16,8.0,schoolbook,0.0024883999722078,0.0006824995583689379,2,,
16,8.0,strassen,0.0025215499917976,0.0005291280821365685,2,,
16,16.0,auto,1.4793415499734692,0.03264846359122494,2,,
16,16.0,karatsuba,,,0,,
16,16.0,numba,1.4793415499734692,0.03264846359122494,2,,
16,16.0,schoolbook,,,0,,
16,16.0,strassen,,,0,,
512,8.0,auto,0.7472684333721796,,1,,
1024,8.0,auto,2.707881333267627,,1,,
2048,,auto,,,0,,
4096,,auto,,,0,,
