size,digits,algo,trial,elapsed,muls,adds
4,4,auto,0,,,
4,4,auto,1,,,
4,4,schoolbook,0,,,
4,4,schoolbook,1,,,
4,4,karatsuba,0,,,
4,4,karatsuba,1,,,
4,4,strassen,0,,,
4,4,strassen,1,,,
4,8,auto,0,,,
4,8,auto,1,,,
4,8,schoolbook,0,,,
4,8,schoolbook,1,,,
4,8,karatsuba,0,,,
4,8,karatsuba,1,,,
4,8,strassen,0,,,
4,8,strassen,1,,,
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,,,
8,4,auto,1,,,
8,4,schoolbook,0,,,
8,4,schoolbook,1,,,
8,4,karatsuba,0,,,
8,4,karatsuba,1,,,
8,4,strassen,0,,,
8,4,strassen,1,,,
8,8,auto,0,,,
8,8,auto,1,,,
8,8,schoolbook,0,,,
8,8,schoolbook,1,,,
8,8,karatsuba,0,,,
8,8,karatsuba,1,,,
8,8,strassen,0,,,
8,8,strassen,1,,,
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,,,
16,4,auto,1,,,
16,4,schoolbook,0,,,
16,4,schoolbook,1,,,
16,4,karatsuba,0,,,
16,4,karatsuba,1,,,
16,4,strassen,0,,,
16,4,strassen,1,,,
16,8,auto,0,,,
16,8,auto,1,,,
16,8,schoolbook,0,,,
16,8,schoolbook,1,,,
16,8,karatsuba,0,,,
16,8,karatsuba,1,,,
16,8,strassen,0,,,
16,8,strassen,1,,,
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
16,16,karatsuba,1,,,
16,16,strassen,0,,,
16,16,strassen,1,,,
4,4,auto,0,,,
4,4,auto,1,,,
4,4,schoolbook,0,,,
4,4,schoolbook,1,,,
4,4,karatsuba,0,,,
4,4,karatsuba,1,,,
4,4,strassen,0,,,
4,4,strassen,1,,,
4,8,auto,0,,,
4,8,auto,1,,,
4,8,schoolbook,0,,,
4,8,schoolbook,1,,,
4,8,karatsuba,0,,,
4,8,karatsuba,1,,,
4,8,strassen,0,,,
4,8,strassen,1,,,
4,16,auto,0,,,
4,16,auto,1,,,
4,16,schoolbook,0,,,
4,16,schoolbook,1,,,
4,16,karatsuba,0,,,
4,16,karatsuba,1,,,
4,16,strassen,0,,,
4,16,strassen,1,,,
8,4,auto,0,,,
8,4,auto,1,,,
8,4,schoolbook,0,,,
8,4,schoolbook,1,,,
8,4,karatsuba,0,,,
8,4,karatsuba,1,,,
8,4,strassen,0,,,
8,4,strassen,1,,,
8,8,auto,0,,,
8,8,auto,1,,,
8,8,schoolbook,0,,,
8,8,schoolbook,1,,,
8,8,karatsuba,0,,,
8,8,karatsuba,1,,,
8,8,strassen,0,,,
8,8,strassen,1,,,
8,16,auto,0,,,
8,16,auto,1,,,
8,16,schoolbook,0,,,
8,16,schoolbook,1,,,
8,16,karatsuba,0,,,
8,16,karatsuba,1,,,
8,16,strassen,0,,,
8,16,strassen,1,,,
16,4,auto,0,,,
16,4,auto,1,,,
16,4,schoolbook,0,,,
16,4,schoolbook,1,,,
16,4,karatsuba,0,,,
16,4,karatsuba,1,,,
16,4,strassen,0,,,
16,4,strassen,1,,,
16,8,auto,0,,,
16,8,auto,1,,,
16,8,schoolbook,0,,,
16,8,schoolbook,1,,,
16,8,karatsuba,0,,,
16,8,karatsuba,1,,,
16,8,strassen,0,,,
16,8,strassen,1,,,
16,16,auto,0,,,
16,16,auto,1,,,
16,16,schoolbook,0,,,
16,16,schoolbook,1,,,
16,16,karatsuba,0,,,
