timestamp,machine,n,mean_s,gflops,repeat_times,notes
1759039348.1695313,LAPTOP-PNEMF9C4,2048,0.05319349999384334,322.96933245581533,"[0.0535336000029929, 0.0496430000057444, 0.056403899972792715]",numpy baseline
1759039350.4294326,LAPTOP-PNEMF9C4,4096,0.365134200003619,376.40668409214413,"[0.3524619999807328, 0.3673797000083141, 0.3755609000218101]",numpy baseline
1759142663.921153,LAPTOP-PNEMF9C4,numpy_baseline,2048,,,,3,0.05300929994943241,0.005684902718834482,324.09160657447904,"[0.046940699918195605, 0.0582108999369666, 0.053876299993135035]",,,,,numpy baseline
1759142666.1313047,LAPTOP-PNEMF9C4,numpy_baseline,4096,,,,3,0.3567269667206953,0.016657536895386536,385.2777230032342,"[0.3378389000426978, 0.36302390007767826, 0.36931810004170984]",,,,,numpy baseline
1759142683.961319,LAPTOP-PNEMF9C4,numpy_baseline,512,,,,3,0.0006562666967511177,4.58699547481736e-05,409.0340974620587,"[0.0006164000369608402, 0.0007064000237733126, 0.0006460000295192003]",,,,,numpy baseline
1759142684.0835772,LAPTOP-PNEMF9C4,numpy_baseline,1024,,,,3,0.007782033334175746,0.0005914691616957377,275.9540541376332,"[0.007687699981033802, 0.008415000047534704, 0.007243399973958731]",,,,,numpy baseline
1759142685.19031,LAPTOP-PNEMF9C4,decimal,512,8,,,3,,,,"[null, null, null]",,,,,"int() argument must be a string, a bytes-like object or a real number, not 'list';int() argument must be a string, a bytes-like object or a real number, not 'list';int() argument must be a string, a bytes-like object or a real number, not 'list'"
1759142690.6263568,LAPTOP-PNEMF9C4,decimal,1024,8,,,3,,,,"[null, null, null]",,,,,"int() argument must be a string, a bytes-like object or a real number, not 'list';int() argument must be a string, a bytes-like object or a real number, not 'list';int() argument must be a string, a bytes-like object or a real number, not 'list'"
1759143111.9033852,3.13.5,LAPTOP-PNEMF9C4,numpy,2048,,0.043541733330736555,0.00848900558053329,394.56098482585105,"[0.04142439994029701, 0.05288900004234165, 0.036311800009571016]",numpy baseline
1759143114.158218,3.13.5,LAPTOP-PNEMF9C4,numpy,4096,,0.3839624999091029,0.009942841042801442,357.9488973650721,"[0.3921735999174416, 0.3868062999099493, 0.37290759989991784]",numpy baseline
1759143291.2812252,3.13.5,LAPTOP-PNEMF9C4,numpy,512,,0.001050833302239577,8.20849965265003e-05,255.45008464035146,"[0.0011455999920144677, 0.0010018999455496669, 0.0010049999691545963]",numpy baseline
1759143291.3723717,3.13.5,LAPTOP-PNEMF9C4,numpy,1024,,0.007453633355908096,0.00018504412281893082,288.11232662763115,"[0.007557000033557415, 0.007563900086097419, 0.007239999948069453]",numpy baseline
1759143291.384311,3.13.5,LAPTOP-PNEMF9C4,decimal_auto,512,8,,,,,decimal auto_runtime module has no recognized entry point
1759143291.3844008,3.13.5,LAPTOP-PNEMF9C4,decimal_auto,1024,8,,,,,decimal auto_runtime module has no recognized entry point
1759144055.0382056,LAPTOP-PNEMF9C4,2048,0.04666553332936019,368.1489947355016,"[0.057463600067421794, 0.039944899966940284, 0.04258809995371848]",numpy baseline
1759144057.4175978,LAPTOP-PNEMF9C4,4096,0.4141018000276138,331.8965371868344,"[0.4121899000601843, 0.44602869998198, 0.3840868000406772]",numpy baseline
1759144075.0367734,LAPTOP-PNEMF9C4,512,0.0010375666509692867,258.7163492092095,"[0.0010641999542713165, 0.0010166000574827194, 0.0010318999411538243]",numpy baseline,,,,False,,"usage: auto_runtime.py [-h] [--size SIZE] [--digits DIGITS] [--verbose]
auto_runtime.py: error: unrecognized arguments: --n 512 --trials 3",python -m decimal_computer.auto_runtime --n 512 --digits 8 --trials 3,2,experiments\decimal_logs\decimal_n512_d8_1759144075.log
1759144075.3549557,LAPTOP-PNEMF9C4,1024,0.008688799959296981,247.15537911563968,"[0.00788039993494749, 0.008509899955242872, 0.009676099987700582]",numpy baseline,,,,False,,"usage: auto_runtime.py [-h] [--size SIZE] [--digits DIGITS] [--verbose]
auto_runtime.py: error: unrecognized arguments: --n 1024 --trials 3",python -m decimal_computer.auto_runtime --n 1024 --digits 8 --trials 3,2,experiments\decimal_logs\decimal_n1024_d8_1759144075.log
1759144095.5482047,LAPTOP-PNEMF9C4,1024,0.009129280014894903,235.23034067267812,"[0.00885119999293238, 0.009662199998274446, 0.00946610001847148, 0.008903800044208765, 0.008763100020587444]",numpy baseline,,,,False,,"usage: auto_runtime.py [-h] [--size SIZE] [--digits DIGITS] [--verbose]
auto_runtime.py: error: unrecognized arguments: --n 1024 --trials 5",python -m decimal_computer.auto_runtime --n 1024 --digits 8 --trials 5,2,experiments\decimal_logs\decimal_n1024_d8_1759144095.log
1759144357.7970448,LAPTOP-PNEMF9C4,512,0.0006260333272318045,428.78780461571984,"[0.0006690999725833535, 0.0006021000444889069, 0.0006068999646231532]",numpy baseline,,,,False,,"usage: auto_runtime.py [-h] [--size SIZE] [--digits DIGITS] [--verbose]
auto_runtime.py: error: unrecognized arguments: --n 512 --trials 3",python -m decimal_computer.auto_runtime --n 512 --digits 8 --trials 3,2,experiments\decimal_logs\decimal_n512_d8_1759144358.log
1759144358.119138,LAPTOP-PNEMF9C4,1024,0.008074133385283252,265.97079160399124,"[0.008185400045476854, 0.008106500026769936, 0.007930500083602965]",numpy baseline,,,,False,,"usage: auto_runtime.py [-h] [--size SIZE] [--digits DIGITS] [--verbose]
auto_runtime.py: error: unrecognized arguments: --n 1024 --trials 3",python -m decimal_computer.auto_runtime --n 1024 --digits 8 --trials 3,2,experiments\decimal_logs\decimal_n1024_d8_1759144358.log
1759144555.8389883,LAPTOP-PNEMF9C4,512,,0.0006057999950523177,4.8349183919480625e-05,,"[0.0006608000257983804, 0.0005866000428795815, 0.0005699999164789915]",numpy baseline,
1759144555.9660418,LAPTOP-PNEMF9C4,1024,,0.007449333361970882,0.0002115285192856698,,"[0.007510000024922192, 0.007623899960890412, 0.0072141001001000404]",numpy baseline,
1759144556.193899,LAPTOP-PNEMF9C4,512,8,,,,,decimal run parse-failed; see log,experiments\decimal_logs\decimal_n512_d8_1759144555.log
1759144556.5123181,LAPTOP-PNEMF9C4,1024,8,,,,,decimal run parse-failed; see log,experiments\decimal_logs\decimal_n1024_d8_1759144556.log
1759144570.2652266,LAPTOP-PNEMF9C4,1024,8,,,,,decimal run parse-failed; see log,experiments\decimal_logs\decimal_n1024_d8_1759144570.log
1759144580.415835,LAPTOP-PNEMF9C4,2048,,0.057411833317019045,0.003311259531819803,,"[0.053965299972333014, 0.05770140001550317, 0.060568799963220954]",numpy baseline,
1759144583.277397,LAPTOP-PNEMF9C4,4096,,0.4254472666652873,0.04767824895059341,,"[0.406634800019674, 0.47966179996728897, 0.390045200008899]",numpy baseline,
1759145132.9867067,LAPTOP-PNEMF9C4,512,0.0012009499478153884,223.51927029790275,"[0.001262799953110516, 0.0011390999425202608]",numpy baseline
1759145133.1600406,LAPTOP-PNEMF9C4,1024,0.009608599997591227,223.4959982243356,"[0.009431299986317754, 0.0097859000088647]",numpy baseline
1759145149.228007,LAPTOP-PNEMF9C4,512,0.001126500021200627,238.29156764142863,"[0.0011500000255182385, 0.0011030000168830156]",numpy baseline
1759146265.6639993,LAPTOP-PNEMF9C4,2048,,0.05268756668859472,0.0016282509178765644,,"[0.05429200001526624, 0.052734200027771294, 0.05103650002274662]",numpy baseline,
1759146268.1842442,LAPTOP-PNEMF9C4,4096,,0.4522065332857892,0.02587553504913736,,"[0.4787883999524638, 0.45073069992940873, 0.42710049997549504]",numpy baseline,
1759146281.3324654,LAPTOP-PNEMF9C4,512,,0.0010820666793733835,0.00010423246753336119,,"[0.0011980000417679548, 0.0010520999785512686, 0.0009961000178009272]",numpy baseline,
1759146281.4535856,LAPTOP-PNEMF9C4,1024,,0.00655223336070776,0.0016458150002366975,,"[0.0046678000362589955, 0.007707500015385449, 0.007281400030478835]",numpy baseline,
1759146281.7340715,LAPTOP-PNEMF9C4,512,8,,,,,decimal run parse-failed; see log,experiments\decimal_logs\decimal_n512_d8_1759146281.log
1759146282.1524544,LAPTOP-PNEMF9C4,1024,8,,,,,decimal run parse-failed; see log,experiments\decimal_logs\decimal_n1024_d8_1759146281.log
1759214106.5241058,LAPTOP-PNEMF9C4,2048,,0.041661733334573604,0.0005407285859088629,,"[0.041164200054481626, 0.04158379998989403, 0.04223719995934516]",numpy baseline,
1759214108.66002,LAPTOP-PNEMF9C4,4096,,0.31257556669879705,0.024680349492505232,,"[0.2901754999766126, 0.33903330005705357, 0.30851790006272495]",numpy baseline,
1759214124.5022118,LAPTOP-PNEMF9C4,512,,0.0009273666655644774,5.9624868371040816e-05,,"[0.0009954000124707818, 0.0008841999806463718, 0.0009025000035762787]",numpy baseline,
1759214124.5938246,LAPTOP-PNEMF9C4,1024,,0.006282533363749583,0.0004174164428272751,,"[0.006147300009615719, 0.006750800064764917, 0.0059495000168681145]",numpy baseline,
1759214177.9944859,LAPTOP-PNEMF9C4,512,8,17.64672186668031,0.6539327487005302,,,decimal auto runtime result,experiments\decimal_logs\decimal_n512_d8_1759214124.log
1759214600.6643765,LAPTOP-PNEMF9C4,1024,8,140.5577221000179,2.887892159205347,,,decimal auto runtime result,experiments\decimal_logs\decimal_n1024_d8_1759214178.log
