n,block_size,trial,elapsed_seconds
64,8,1,0.020476
64,8,2,0.026567
64,8,3,0.022970
64,16,1,0.016211
64,16,2,0.016262
64,16,3,0.015959
64,32,1,0.014597
64,32,2,0.014215
64,32,3,0.013914
64,48,1,0.013767
64,48,2,0.013942
64,48,3,0.013785
64,64,1,0.013104
64,64,2,0.013094
64,64,3,0.013136
128,8,1,0.151890
128,8,2,0.147612
128,8,3,0.150973
128,16,1,0.132256
128,16,2,0.127513
128,16,3,0.124397
128,32,1,0.116487
128,32,2,0.114125
128,32,3,0.112797
128,48,1,0.109219
128,48,2,0.119315
128,48,3,0.123146
128,64,1,0.117906
128,64,2,0.128504
128,64,3,0.118008
256,8,1,1.242040
256,8,2,1.237574
256,8,3,1.228800
256,16,1,1.095187
256,16,2,1.154344
256,16,3,1.282021
256,32,1,0.921689
256,32,2,0.940935
256,32,3,0.968817
256,48,1,0.900775
256,48,2,0.890727
256,48,3,0.898299
256,64,1,0.894917
256,64,2,0.876427
256,64,3,0.916559
512,8,1,10.529431
512,8,2,10.393277
512,8,3,11.088770
512,16,1,9.082101
512,16,2,8.921630
512,16,3,8.741163
512,32,1,8.233939
512,32,2,8.082084
512,32,3,8.320977
512,48,1,7.653188
512,48,2,7.825358
512,48,3,7.708095
512,64,1,9.004867
512,64,2,8.491087
512,64,3,8.114032
